法人名称,法人番号,法人種別,登記閉鎖等,法人サマリー,本社所在地(WEBサイト掲載),郵便番号(WEBサイト掲載),都道府県(WEBサイト掲載),市区町村(WEBサイト掲載),番地(WEBサイト掲載),本社所在地(登記情報),郵便番号(登記情報),都道府県(登記情報),市区町村(登記情報),番地(登記情報),サイトURL,メールアドレス,電話番号,FAX番号,業種,業種(大分類1),業種(中分類1),業種(大分類2),業種(中分類2),業種(大分類3),業種(中分類3),上場区分,法人グレード,設立年月日,資本金(円),従業員数(人),代表者名,役員,売上高(円),利益(円),決算月,国内拠点数,国内拠点名,海外拠点数,海外拠点名,関連企業数,掲載取引先数,利用サービス,Facebook,X(旧Twitter),Instagram,YouTube,LINE,アクティビティ,運営サイト数,アップロードリストとの重複
Ｂｅｌｌａ Ｆｏｎｔａｎａ株式会社,'1020001120785,株式会社,,Ｂｅｌｌａ Ｆｏｎｔａｎａ株式会社は、ビジネスアイディアを形にし、システム開発プロデュースを行うオンラインマーケティングの自動化・省力化システムや消費者向けサービスの開発を行う法人です。,,,,,,東京都江戸川区平井３丁目５番１号ジュネシオン平井５１４,1320035,東京都,江戸川区,平井３丁目５番１号ジュネシオン平井５１４,https://www.bellafontana.co.jp/,,03-5943-9501,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,小規模企業,2017/4/3,"6,000,000",～5未満,佐々木 敦司（ Bella Fontana 株式会社代表取締役 システム開発プロデューサー）,佐々木 敦司（ Bella Fontana 株式会社代表取締役 システム開発プロデューサー）,5千万以上～1億未満,,,,,,,,,jsDelivr/unpkg/Gstatic/jQuery CDN/CloudFlare/Font Awesome,-,-,-,-,-,,,N/A
株式会社ＧＲＯＷＴＨ ＶＥＲＳＥ,'4010401161023,株式会社,,株式会社ＧＲＯＷＴＨ ＶＥＲＳＥは、マーケティングＡＩ ＳａａＳ「ＡＩＭＳＴＡＲ」や人流分析ＡＩ ＳａａＳ「ミセシル」を提供する統合ＡＩプラットフォームカンパニーであり、ビジネス成長を最大化することをミッションとしています。,東京都港区愛宕2-5-1愛宕グリーンヒルズMORIタワー38F,105-0002,東京都,港区,愛宕2-5-1愛宕グリーンヒルズMORIタワー38F,東京都港区愛宕２丁目５番１号,1050002,東京都,港区,愛宕２丁目５番１号,https://growth-verse.ai/,,03-5956-3426,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/学術・開発研究機関/自然科学研究所",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,学術・開発研究機関,非上場,中小企業,2021/6/17,"100,000,000",100以上～300未満,南野 充則（代表取締役会長 兼 CTO）/渡部 知博（代表取締役社長 兼 CEO）,南野 充則（代表取締役会長 兼 CTO）/渡部 知博（代表取締役社長 兼 CEO）/諸冨 圭輔（取締役CFO）/加山 博規（社外取締役）/古森 茂幹（社外取締役）/金山 杏佑子（常勤監査役）/伊藤 光茂（社外監査役）/坂元 英峰（社外監査役）/井上 陽介（執行役員CSO）/青木 歩人（執行役員CPO）,20億以上～30億未満,,,2,東京都,,,,,Font Awesome/jQuery CDN/Gstatic/Googleタグマネージャー/Google マップ,-,-,-,-,-,リリース情報掲載あり(1週間以内)/中途採用掲載あり(先週),2,N/A
スマートキャンプ株式会社,'7010401112337,株式会社,,スマートキャンプ株式会社は、ＳａａＳ（ソフトウェア・アズ・ア・サービス）領域に特化したマーケティングおよびコンサルティングを提供し、インサイドセールスのアウトソーシングや生産性向上を目指すソリューションを展開する法人です。,東京都港区芝5-29-11G-BASE田町13階,,東京都,港区,芝5-29-11G-BASE田町13階,東京都港区芝５丁目２９番１１号,108-0014,東京都,港区,芝５丁目２９番１１号,https://smartcamp.co.jp/,,03-6809-3224,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中堅,2014/6/4,"100,082,000",100以上～300未満,林 詩音（代表取締役社長）,林 詩音（代表取締役社長）/阿部 慎平（取締役）/山本 多絵子（取締役）/福﨑 昇平（取締役）/濱田 真彰（取締役）/吉川 大介（取締役）/林 友三（取締役）/杉本 啓（取締役）/森 俊哉（監査役）/鈴木 里佳（監査役）/安田 友哉（監査役）/菊地 桂太（執行役員 CIO）/中野 真良（執行役員 ADXLカンパニー CEO）/酒谷 彰一（執行役員 CFO）/清本 周平（執行役員 社長室管掌）/関 哲（執行役員 株式会社ビズヒント管掌）/上田 恭兵（執行役員 BALES BPOカンパニー CEO）,50億以上～100億未満,,,4,北海道/大阪府/福岡県,,,2,1,Gstatic/TypeSquare/Googleタグマネージャー/Google マップ/Google Cloud Storage/Google アナリティクス,-,-,-,-,-,リリース情報掲載あり(1週間以内)/中途採用掲載あり(先週)/商標出願あり(2025/2026年),12,N/A
株式会社ネクスト・ロジック,'9010001046396,株式会社,,株式会社ネクスト・ロジックは、データ分析とアイデアを組み合わせて、通信販売やサブスクリプション事業の経営支援を行うコンサルティングおよびＳａａＳ事業を展開する法人です。,,,,,,大阪府大阪市中央区南船場２丁目４番８号,5420081,大阪府,大阪市中央区,南船場２丁目４番８号,https://next-logic.co.jp/,,06-6267-7077,06-6267-7171,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社",情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,小規模企業,2019,,～5未満,前田徹（代表取締役CEO）/市原峻（代表取締役COO）,前田徹（代表取締役CEO）/市原峻（代表取締役COO）/小川晃市（取締役ファウンダー）,1億以上～5億未満,,,,,,,,,reCAPTCHA/Googleタグマネージャー/jsDelivr/CloudFlare/unpkg,-,-,-,-,-,案件情報掲載あり(2025/2026年),,N/A
株式会社ＰＫＳＨＡ Ｉｎｆｉｎｉｔｙ,'3290001086932,株式会社,,株式会社ＰＫＳＨＡ Ｉｎｆｉｎｉｔｙは、福岡県に本社を置き、ＡＩ技術を活用した業務効率化サービスの開発・提供を行っているテクノロジー法人です。,福岡県福岡市博多区博多駅東1-12-6花村ビル7F,812-0013,福岡県,福岡市博多区,博多駅東1-12-6花村ビル7F,福岡県福岡市博多区博多駅東１丁目１２番６号花村ビル７Ｆ,8120013,福岡県,福岡市博多区,博多駅東１丁目１２番６号花村ビル７Ｆ,https://infinity.pkshatech.com/,info@pksha-infinity.com,092-600-0342,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/技術サービス業（他に分類されないもの）/その他の技術サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,技術サービス業（他に分類されないもの）,非上場,中小企業,2019/10/23,"51,820,200",50以上～100未満,森 慎吾（代表取締役）,森 慎吾（代表取締役）/橋本 聡（取締役）/兼松 崇（取締役）/大野 紗和子（社外取締役）/南 正人（社外取締役）/布野 宏明（社外取締役）/後藤 優太（執行役員）,10億以上～20億未満,,,1,,,,,,OneTrust/Google Cloud Storage/Googleタグマネージャー/TypeSquare/Google マップ/Gstatic/エックスサーバーWebフォント,-,-,-,-,-,中途採用掲載あり(先週),1,N/A
株式会社ディライトフル,'8010001071049,株式会社,,株式会社ディライトフルは、東京都に本社を置き、スポーツユニフォームのＥＣ事業とＢｔｏＢｔｏＣ向けのメール配信ＳａａＳ事業を展開する法人です。,東京都江東区佐賀1丁目1番3号第一富士ビル3階,135-0031,東京都,江東区,佐賀1丁目1番3号第一富士ビル3階,東京都江東区佐賀１丁目１番３号,1350031,東京都,江東区,佐賀１丁目１番３号,https://www.dlfl.jp/,,03-4455-7097,03-5620-0701,"卸売業，小売業/無店舗小売業/通信販売・訪問販売小売業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",卸売業，小売業,無店舗小売業,情報通信業,インターネット附随サービス業,,,非上場,中小企業,2000/10/2,"10,000,000",20以上～30未満,稲葉高広（代表取締役社長）,稲葉高広（代表取締役社長）,5億以上～10億未満,,,,,,,,,Google マップ/Googleタグマネージャー/jQuery CDN/Gstatic/unpkg,-,-,-,-,-,リリース情報掲載あり(2025/2026年),,N/A
株式会社ＪＡＤＥ,'2010401145498,株式会社,,株式会社ＪＡＤＥは、Ｗｅｂコンサルティングを主な事業とし、インターネットを良くすることをミッションとしています。検索エンジンマーケティングやアナリティクス分析をコアとしたＷｅｂマーケティングを提供し、自然な成長をサポートすることやプラットフォームを守ることにも力を入れています。さらに、正しい知識の啓蒙や邪悪にならないことも重要視しています。,東京都千代田区外神田4-7-11クロスシー秋葉原ビル12階,101-0021,東京都,千代田区,外神田4-7-11クロスシー秋葉原ビル12階,東京都千代田区外神田４丁目７番１１号,1010021,東京都,千代田区,外神田４丁目７番１１号,https://ja.dev/,,03-6206-8807,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,2019/5/7,"10,000,000",30以上～50未満,伊東周晃（代表取締役）/長山一石（代表取締役）,伊東周晃（代表取締役）/長山一石（代表取締役）,10億以上～20億未満,,,2,東京都,,,,,jsDelivr/Clarity/Bing広告/Facebook SDK/Google マップ/Google Cloud Storage/reCAPTCHA/Googleタグマネージャー/Google アナリティクス/スマートニュース広告/X（旧：Twitter）広告,-,◯,-,-,-,,2,N/A
株式会社ピクルス,'3011101043925,株式会社,,株式会社ピクルスは、Ｗｅｂマーケティング支援とＳａａＳ提供を中心に活動している法人です。ピクルスのミッションは、「コミュニケーションをリデザインし、相互理解を創り出すこと」であり、顧客のサービスや商品を多くの人に届けるための取り組みを行っています。また、マーケティング支援として長年の経験を活かし、診断クラウドやキャンペーンツールなどのＳａａＳを提供しています。,,,,,,東京都品川区東五反田２丁目５番２号ＴＨＥＣＡＳＫＧＯＴＡＮＤＡ５０４号室,1410022,東京都,品川区,東五反田２丁目５番２号ＴＨＥＣＡＳＫＧＯＴＡＮＤＡ５０４号室,https://pickles.tv/,,050-1791-0250,,"情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,情報通信業,インターネット附随サービス業,非上場,中小企業,2003/9/19,"10,000,000",10以上～20未満,田中 稔（代表取締役）,田中 稔（代表取締役）/高橋 晋一朗（取締役）,5億以上～10億未満,,,,,,,,,Font Awesome/TypeSquare/Googleタグマネージャー/Gstatic/Google マップ/CloudFlare,◯,◯,-,◯,-,リリース情報掲載あり(2025/2026年)/中途採用掲載あり(2025/2026年),2,N/A
株式会社かぶらや,'3011101102094,株式会社,,株式会社かぶらやは、相続・事業承継コンサルティングを主な事業とし、ＳａａＳを活用して事業承継をスムーズに行うためのサービスを提供する法人です。,東京都新宿区新宿一丁目36番2号新宿第七葉山ビル3階,,東京都,新宿区,新宿一丁目36番2号新宿第七葉山ビル3階,東京都新宿区新宿１丁目３６番２号新宿第七葉山ビル３階,1600022,東京都,新宿区,新宿１丁目３６番２号新宿第七葉山ビル３階,https://kabura-ya.co.jp/,,03-6555-2530,,"学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/情報サービス業/情報処理・提供サービス業",学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,情報通信業,情報サービス業,非上場,不明,2023/3,,,熊木雅人（代表取締役）,熊木雅人（代表取締役）,,,,1,,,,,,Gstatic/CloudFlare/Google マップ/jQuery CDN/Googleタグマネージャー,-,-,-,-,-,,,N/A
株式会社グロース,'4011101063039,株式会社,,株式会社グロースは、主にＳＥＳ事業やＳａａＳ事業を展開し、インフラの上流工程に強みを持つ技術者集団として、お客様に信頼ある価値を提供し、技術の革新を通じて社会に貢献する法人です。,東京都港区麻布台2丁目3番3号DAIWA麻布台ビル6F,106-0041,東京都,港区,麻布台2丁目3番3号DAIWA麻布台ビル6F,東京都港区麻布台２丁目３番３号,106-0041,東京都,港区,麻布台２丁目３番３号,https://growth-jp.com/,g.ueki@growth-jp.com,03-6459-4400,03-6459-4995,"学術研究，専門・技術サービス業/技術サービス業（他に分類されないもの）/その他の技術サービス業,情報通信業/情報サービス業/ソフトウェア業",学術研究，専門・技術サービス業,技術サービス業（他に分類されないもの）,情報通信業,情報サービス業,,,非上場,中小企業,2005/3/10,"18,500,000",50以上～100未満,田中英一（代表）,田中英一（代表取締役）,20億以上～30億未満,,,,,,,1,11,Bootstrap/jsDelivr/Googleタグマネージャー/AddToAny/Google マップ/jQuery CDN/Google アナリティクス/Gstatic/unpkg/Font Awesome,◯,◯,◯,-,◯,中途採用掲載あり(2025/2026年),1,N/A
